Регион,ФО
Республика Адыгея,ЮФО
Республика Башкортостан,ПФО
Респ. Башкортостан,ПФО
Республика Бурятия,СФО
Республика Алтай,СФО
Республика Дагестан,СКФО
Республика Ингушетия,СКФО
Кабардино-Балкарская Респ.,СКФО
Республика Калмыкия,ЮФО
Карачаево-Черкесская Респ.,СКФО
Республика Карелия,СЗФО
Республика Коми,СЗФО
Республика Марий Эл,ПФО
Республика Мордовия,ПФО
Респ. Саха (Якутия),ДФО
Респ. Северная Осетия-Алания,СКФО
Республика Татарстан,ПФО
Республика Тыва,СФО
Удмуртская Республика,ПФО
Республика Хакасия,СФО
Чеченская Республика,СКФО
Чувашская Республика,ПФО
Алтайский край,СФО
Забайкальский край,СФО
Камчатский край,ДФО
Краснодарский край,ЮФО
Красноярский край,СФО
Пермский край,ПФО
Приморский край,ДФО
Ставропольский край,СКФО
Хабаровский край,ДФО
Амурская область,ДФО
Архангельская обл. без НАО,СЗФО
Астраханская область,ЮФО
Белгородская область,ЦФО
Брянская область,ЦФО
Владимирская область,ЦФО
Волгоградская область,ЮФО
Вологодская область,СЗФО
Воронежская область,ЦФО
Ивановская область,ЦФО
Иркутская область,СФО
Калининградская обл.,СЗФО
Калужская область,ЦФО
Камчатская область,ДФО
Кемеровская область,СФО
Кировская область,ПФО
Костромская область,ЦФО
Курганская область,УрФО
Курская область,ЦФО
Ленинградская область,СЗФО
Липецкая область,ЦФО
Магаданская область,ДФО
Московская область,ЦФО
Мурманская область,СЗФО
Нижегородская область,ПФО
Новгородская область,СЗФО
Новосибирская область,СФО
Омская область,СФО
Оренбургская область,ПФО
Орловская область,ЦФО
Пензенская область,ПФО
Псковская область,СЗФО
Ростовская область,ЮФО
Рязанская область,ЦФО
Самарская область,ПФО
Саратовская область,ПФО
Сахалинская область,ДФО
Свердловская область,УрФО
Смоленская область,ЦФО
Тамбовская область,ЦФО
Тверская область,ЦФО
Томская область,СФО
Тульская область,ЦФО
Тюменская обл. без АО,УрФО
Ульяновская область,ПФО
Челябинская область,УрФО
Ярославская область,ЦФО
гор. Москва,ЦФО
гор. Санкт-Петербург,СЗФО
Гор. Севастополь,ЮФО
Еврейская автономная область,ДФО
Ненецкий автономный округ,СЗФО
Ханты-Мансийский ао-Югра,УрФО
Чукотский автономный округ,ДФО
Ямало-Ненецкий АО,УрФО
Республика Крым,ЮФО
